Q16743936	ontólogo	ontóloga
Q1970438	operador	operadora
Q9052719	optometrista	optometrista
Q12859263	orador	oradora
Q1937431	organero	organera
Q765778	organista	organista
Q13581129	orientador	orientadora
Q1731155	orientalista	orientalista
Q1225716	ornitólogo	ornitóloga
Q3842067	ortodoncista	ortodoncista
Q28526862	osteópata	osteópata
Q21484199	ostracodólogo	ostracodóloga
Q18891002	otorrinolaringólogo	otorrinolaringóloga
Q16003550	pacifista	pacifista
Q21272406	paleoantropólogo	paleoantropóloga
Q16037036	paleobiólogo	paleobióloga
Q30059961	paleobotánico	paleobotánica
Q17132038	paleógrafo	paleógrafa
Q1662561	paleontólogo	paleontóloga
Q160131	panadero	panadera
Q6059640	panegirista	panegirista
Q16254673	panfletista	panfletista
Q16267158	papirólogo	papiróloga
Q6060450	paracaidista	paracaidista
Q26111624	parapentista	parapentista
Q3363630	parapsicólogo	parapsicóloga
Q20751419	parasitólogo	parasitóloga
Q23072521	paremiólogo	paremióloga
Q212948	partisano	partisana
Q1191511	pastelero	pastelera
Q152002	pastor	pastora
Q3368718	patólogo	patóloga
Q618532	patrón	patrona
Q230763	patronista	patronista
Q7358	payaso	payasa
Q1231865	pedagogo	pedagoga
Q1161133	pedicura	pedicura
Q2295938	peletero	peletera
Q55187	peluquero	peluquera
Q43065561	peluquero	peluquera
Q15972912	pentatleta	pentatleta
Q4351403	percusionista	percusionista
Q16010345	performer	performer
Q579021	perfumista	perfumista
Q1930187	periodista	periodista
Q550594	pescadero	pescadera
Q5455155	pescadera	pescadera
Q331432	pescador	pescadora
Q18342390	petrógrafo	petrógrafa
Q19356817	petrólogo	petróloga
Q486748	pianista	pianista
Q2191547	picador	picadora
Q1028181	pintor	pintora
Q288728	pintor	pintora
Q937283	pionero	pionera
Q13393921	pionero	pionera
Q1930380	piquetero	piquetera
Q13382566	piragüista	piragüista
Q10729326	pirata	pirata
Q3411358	pirotécnico	pirotécnica
Q1410101	pirotécnico	pirotécnica
Q619851	pistolero	pistolera
Q27668660	planchadora	planchadora
Q20738534	planctólogo	planctóloga
Q1246370	plañidera	plañidera
Q728711	playmate	playmate
Q15077007	podcaster	podcaster
Q3393065	podiatra	podóloga
Q52875	podólogo	podóloga
Q49757	poeta	poetisa
Q384593	policía	policía
Q1360731	polígrafo	polígrafa
Q270141	polímata	polímata
Q13218361	polista	polista
Q82955	político	política
Q1238570	politólogo	politóloga
Q17221	portavoz	portavoz
Q1650716	portero	portera
Q477190	postulador	postuladora
Q432386	predicador	predicadora
Q17488316	prehistoriador	prehistoriadora
Q13590141	presentador	presentadora
Q16825962	primatólogo	primatóloga
Q1862087	prisionero	Prisionera
Q13235160	productor	productora
Q47541952	productor	productora
Q702269	profesional	profesional
Q121594	profesor	profesora
Q37226	profesor	profesora
Q42857	profeta	profeta
Q5482740	programador	programadora
Q695829	promotor	promotora
Q2378505	promotor	promotora
Q1685363	propagandista	propagandista
Q12144794	prosista	prosista
Q14915751	prostituta	prostituta
Q7250992	protesista	protesista
Q11679511	proxeneta	proxeneta
Q1415369	proyeccionista	proyeccionista
Q9063418	proyectista	proyectista
Q22082749	pseudocientífico	pseudocientífica
Q3410028	psicoanalista	psicoanalista
Q7256360	psicolingüista	psicolingüista
Q212980	psicólogo	psicóloga
Q29392795	psicopedagogo	psicopedagoga
Q1589559	psicoterapeuta-psicólogo	psicoterapeuta-psicóloga
Q211346	psiquiatra	psiquiatra
Q2917466	psíquico	psíquica
Q16334509	pteridólogo	pteridóloga
Q16287483	publicista	publicista
Q4178004	publicista	publicista
Q10355417	publicitario	publicitaria
Q19945412	quesero	quesera
Q593644	químico	química
Q2963953	quiropráctico	quiropráctica
Q21202260	radiobiólogo	radiobióloga
Q18890587	radiólogo	radióloga
Q17320259	radiotelegrafista	radiotelegrafista
Q2046313	radioterapeuta	radioterapeuta
Q2252262	rapero	rapera
Q3455803	realizador	realizadora
Q1125062	rebelde	rebelde
Q39384683	recadero	recadera
Q1722406	recepcionista	recepcionista
Q12761281	receptador	receptadora
Q23037330	recitador	recitadora
Q805296	recogepelotas	recogepelotas
Q476246	regatista	regatista
Q6104047	registrador	registradora
Q3931989	registrador	registradora
Q33392730	rejero	rejera
Q2376278	rejoneador	rejoneadora
Q4504549	religioso	religiosa
Q157798	relojero	relojera
Q2700922	relojero	relojera
Q13382576	remero	remera
Q7313543	rentista	rentista
Q256876	repentista	repentista
Q42909	reportero	reportera
Q619514	reportero-camarógrafo	reportera-camarógrafa
Q6105867	repostero	repostera
Q2145981	restaurador	restauradora
Q3427922	restauranter	restauradora
Q5997943	reumatólogo	reumatóloga
Q15080920	revendedor	revendedora
Q389565	revisor	revisora
Q3242115	revolucionario	revolucionaria
Q1430248	roadie	roadie
Q2504617	romanista	romanista
Q2167302	rosalista	rosalista
Q16658624	runólogo	runóloga
Q42603	sacerdote	sacerdotisa
Q6116659	sacerdotisa	sacerdotisa
Q16004431	saltador	saltadora
Q38142	samurái	samurái
Q2518689	sanador	sanadora
Q15991192	sanscritista	sanscritista
Q9334029	satírico	satírica
Q12800682	saxofonista	saxofonista
Q1413166	scratch	scratch
Q80687	secretario	secretaria
Q27062494	segalari	segalari
Q17276298	selenógrafo	selenógrafa
Q21694753	semiólogo	semióloga
Q16402907	semiótico	semiótica
Q4371047	semiprofesional	semiprofesional
Q19361455	semitólogo	semitóloga
Q10370560	sertanista	sertanista
Q2920595	sexólogo	sexóloga
Q3482594	showgirl	showgirl
Q1440873	showrunner	showrunner
Q14827916	sicofanta	sicofanta
Q3738699	silvicultor	silvicultora
Q15627169	sindicalista	sindicalista
Q15255771	sinólogo	sinóloga
Q833860	sirvienta	sirvienta
